review_id,rule_id,rule_type,current_review_status,engine_status,review_reason,product_line,product_id,step_id,option_group,regions,strength,confidence,message,source_workbook,source_sheet,source_cell,normalized_payload,review_decision,final_rule_type,final_effect,reviewer,reviewed_at,review_notes
dt_review:0011,decision_tree:0011,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626079,Step 4,Selected one Power Cord,,info,0.45,8626079 | Power cord for Australia / New Zealand (250VAC Cord Reel with an Australian / New Zealand Plug),AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C21,"{""message"": ""8626079 | Power cord for Australia / New Zealand (250VAC Cord Reel with an Australian / New Zealand Plug)""}",,note,info,,,
dt_review:0012,decision_tree:0012,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 5,Selected one In Bin charging for 2530 bin,,info,0.45,Step 5 | Selected one In Bin charging for 2530 bin | In Bin charging for 2530 bin,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A24,"{""message"": ""Step 5 | Selected one In Bin charging for 2530 bin | In Bin charging for 2530 bin""}",,note,info,,,
dt_review:0013,decision_tree:0013,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 6,Selected one In Bin charging for 3543/4343 bin,,info,0.45,Step 6 | Selected one In Bin charging for 3543/4343 bin | In Bin charging for 3543/4343 bin,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A28,"{""message"": ""Step 6 | Selected one In Bin charging for 3543/4343 bin | In Bin charging for 3543/4343 bin""}",,note,info,,,
dt_review:0014,decision_tree:0014,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626145,Step 6,Selected one In Bin charging for 3543/4343 bin,,info,0.45,8626145 | In-bin charging - Plus/Lux/Focus HD,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C30,"{""message"": ""8626145 | In-bin charging - Plus/Lux/Focus HD""}",,note,info,,,
dt_review:0015,decision_tree:0015,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626152,Step 6,Selected one In Bin charging for 3543/4343 bin,,info,0.45,8626152 | In-bin charging - Focus,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C31,"{""message"": ""8626152 | In-bin charging - Focus""}",,note,info,,,
dt_review:0016,decision_tree:0016,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 7,Choose Detector/Battery Options,,info,0.45,Step 7 | Choose Detector/Battery Options | Detector,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A33,"{""message"": ""Step 7 | Choose Detector/Battery Options | Detector""}",,note,info,,,
dt_review:0017,decision_tree:0017,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8624850,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C34,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0018,decision_tree:0018,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8624959,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C35,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0019,decision_tree:0019,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8615247,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C36,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0020,decision_tree:0020,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8620148,Step 7,Choose Detector/Battery Options,us,info,0.45,US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C37,"{""message"": ""US&C order""}",,note,info,,,
dt_review:0021,decision_tree:0021,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6701122,Step 7,Choose Detector/Battery Options,us,info,0.45,WW ex US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C38,"{""message"": ""WW ex US&C order""}",,note,info,,,
dt_review:0022,decision_tree:0022,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8621278,Step 7,Choose Detector/Battery Options,us,info,0.45,US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C39,"{""message"": ""US&C order""}",,note,info,,,
dt_review:0023,decision_tree:0023,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6702336,Step 7,Choose Detector/Battery Options,us,info,0.45,WW ex US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C40,"{""message"": ""WW ex US&C order""}",,note,info,,,
dt_review:0024,decision_tree:0024,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8625246,Step 7,Choose Detector/Battery Options,us,info,0.45,US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C41,"{""message"": ""US&C order""}",,note,info,,,
dt_review:0025,decision_tree:0025,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6705727,Step 7,Choose Detector/Battery Options,us,info,0.45,WW ex US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C42,"{""message"": ""WW ex US&C order""}",,note,info,,,
dt_review:0026,decision_tree:0026,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8625253,Step 7,Choose Detector/Battery Options,us,info,0.45,US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C43,"{""message"": ""US&C order""}",,note,info,,,
dt_review:0027,decision_tree:0027,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6705735,Step 7,Choose Detector/Battery Options,us,info,0.45,WW ex US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C44,"{""message"": ""WW ex US&C order""}",,note,info,,,
dt_review:0028,decision_tree:0028,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8615460,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C45,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0029,decision_tree:0029,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8618183,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C46,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0030,decision_tree:0030,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8617060,Step 7,Choose Detector/Battery Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C47,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0031,decision_tree:0031,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6701155,Step 7,Choose Detector/Battery Options,us,info,0.45,WW ex US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C48,"{""message"": ""WW ex US&C order""}",,note,info,,,
dt_review:0032,decision_tree:0032,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8620171,Step 7,Choose Detector/Battery Options,us,info,0.45,US&C order,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C49,"{""message"": ""US&C order""}",,note,info,,,
dt_review:0033,decision_tree:0033,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6701148,Step 7,Choose Detector/Battery Options,,info,0.45,Order from warehouse,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C50,"{""message"": ""Order from warehouse""}",,note,info,,,
dt_review:0034,decision_tree:0034,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8620163,Step 7,Choose Detector/Battery Options,,info,0.45,Order from warehouse,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C51,"{""message"": ""Order from warehouse""}",,note,info,,,
dt_review:0035,decision_tree:0035,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6705859,Step 7,Choose Detector/Battery Options,,info,0.45,Order from warehouse,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C52,"{""message"": ""Order from warehouse""}",,note,info,,,
dt_review:0036,decision_tree:0036,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 8,Choose Optional Grid,,info,0.45,Step 8 | Choose Optional Grid | Grid,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A57,"{""message"": ""Step 8 | Choose Optional Grid | Grid""}",,note,info,,,
dt_review:0037,decision_tree:0037,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 9,Choose Hardware Options,,info,0.45,Step 9 | Choose Hardware Options | Hardware Options:,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A64,"{""message"": ""Step 9 | Choose Hardware Options | Hardware Options:""}",,note,info,,,
dt_review:0038,decision_tree:0038,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626103,Step 9,Choose Hardware Options,china,info,0.45,"Tablet Launched in: China, Korea, Singapore, Malaysia, Thailand, Philippines, Australia, New Zealand",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C66,"{""message"": ""Tablet Launched in: China, Korea, Singapore, Malaysia, Thailand, Philippines, Australia, New Zealand""}",,note,info,,,
dt_review:0039,decision_tree:0039,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8622128,Step 9,Choose Hardware Options,,info,0.45,"8622128 | DAP - IBA DAP KermaX-Plus ETH, MPN: 120-131ETH, AH0266",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C70,"{""message"": ""8622128 | DAP - IBA DAP KermaX-Plus ETH, MPN: 120-131ETH, AH0266""}",,note,info,,,
dt_review:0040,decision_tree:0040,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8625303,Step 9,Choose Hardware Options,us,info,0.45,order separately from US,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C71,"{""message"": ""order separately from US""}",,note,info,,,
dt_review:0041,decision_tree:0041,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 10,Choose SW Options,,info,0.45,Step10 | Choose SW Options | Software Options:,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A73,"{""message"": ""Step10 | Choose SW Options | Software Options:""}",,note,info,,,
dt_review:0042,decision_tree:0042,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6707608,Step 10,Choose SW Options,,info,0.45,6707608 | EVP Plus for DRX-Rise,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,C78,"{""message"": ""6707608 | EVP Plus for DRX-Rise""}",,note,info,,,
dt_review:0043,decision_tree:0043,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,,Step 11,Selected wireless module options,,info,0.45,Step11 | Selected wireless module options | Wireless Module | Only for 8626004,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,Decision Tree,A95,"{""message"": ""Step11 | Selected wireless module options | Wireless Module | Only for 8626004""}",,note,info,,,
dt_review:0044,decision_tree:0044,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8626145,,,,info,0.45,8626145 | 附件箱内充电组件（Plus/Lux/Focus HD） | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B7,"{""message"": ""8626145 | 附件箱内充电组件（Plus/Lux/Focus HD） | 1""}",,note,info,,,
dt_review:0045,decision_tree:0045,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6707608,,,,info,0.45,6707608 | 功能激活码 - EVP Plus for DRX-Rise | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B14,"{""message"": ""6707608 | 功能激活码 - EVP Plus for DRX-Rise | 1""}",,note,info,,,
dt_review:0046,decision_tree:0046,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6705727,,,,info,0.45,6705727 | 系统探测器-Focus HD 35 | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B23,"{""message"": ""6705727 | 系统探测器-Focus HD 35 | 1""}",,note,info,,,
dt_review:0047,decision_tree:0047,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6701155,,,,info,0.45,"如果 主机配置 Focus 43C, HD35 HD 43探测器， 选择此电池充电器",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B26,"{""message"": ""如果 主机配置 Focus 43C, HD35 HD 43探测器， 选择此电池充电器""}",,note,info,,,
dt_review:0048,decision_tree:0048,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6566459,,,,info,0.45,"如果 主机配置 Plus 3543C, 4343C, 2530C探测器， 选择此电池充电器",AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B27,"{""message"": ""如果 主机配置 Plus 3543C, 4343C, 2530C探测器， 选择此电池充电器""}",,note,info,,,
dt_review:0049,decision_tree:0049,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8609638,,,,info,0.45,8609638 | 系统探测器-DRX Plus 3543C | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B32,"{""message"": ""8609638 | 系统探测器-DRX Plus 3543C | 1""}",,note,info,,,
dt_review:0050,decision_tree:0050,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,6705735,,,,info,0.45,6705735 | 系统探测器-Focus HD 43 | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B33,"{""message"": ""6705735 | 系统探测器-Focus HD 43 | 1""}",,note,info,,,
dt_review:0051,decision_tree:0051,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Rise,8609620,,,,info,0.45,8609620 | 系统探测器-DRX Plus 4343C | 1,AM9861_DRX Rise_Decision Tree - 20260622.xlsx,China,B34,"{""message"": ""8609620 | 系统探测器-DRX Plus 4343C | 1""}",,note,info,,,
dt_review:0052,decision_tree:0052,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,,Step 1,Step 1: Choose System | List Price | BMI Min,,info,0.45,Step 1: Choose System | List Price | BMI Min,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,A3,"{""message"": ""Step 1: Choose System | List Price | BMI Min""}",,note,info,,,
dt_review:0053,decision_tree:0053,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618894,Step 1,Step 1: Choose System | List Price | BMI Min,,info,0.45,8618894 | DRX-Revolution Mobile X-Ray System Plus Model | 125000 | 75000,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B4,"{""message"": ""8618894 | DRX-Revolution Mobile X-Ray System Plus Model | 125000 | 75000""}",,note,info,,,
dt_review:0054,decision_tree:0054,region_allow,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618928,Step 1,Step 1: Choose System | List Price | BMI Min,china,hard_block,0.9,8618928 | DRX-Revolution Mobile X-Ray System Plus Model (China only) | 125000 | 75000,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B5,"{""allowed_regions"": [""china""], ""source_text"": ""8618928 | DRX-Revolution Mobile X-Ray System Plus Model (China only) | 125000 | 75000""}",,region_allow,hard_block,,,
dt_review:0055,decision_tree:0055,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618902,Step 1,Step 1: Choose System | List Price | BMI Min,,info,0.45,8618902 | DRX-Revolution Mobile X-Ray System Plus Model with Installation and Warranty | 125000 | 75000,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B6,"{""message"": ""8618902 | DRX-Revolution Mobile X-Ray System Plus Model with Installation and Warranty | 125000 | 75000""}",,note,info,,,
dt_review:0056,decision_tree:0056,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8918910,Step 1,Step 1: Choose System | List Price | BMI Min,,info,0.45,8918910 | DRX-Revolution Mobile X-Ray System Plus Model with Parts Warranty | 125000 | 75000,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B7,"{""message"": ""8918910 | DRX-Revolution Mobile X-Ray System Plus Model with Parts Warranty | 125000 | 75000""}",,note,info,,,
dt_review:0057,decision_tree:0057,must_select,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,,Step 2,Step 2: Must Choose the Collimator Type,,hard_block,0.75,Step 2: Must Choose the Collimator Type,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,A9,"{""option_group"": ""Step 2: Must Choose the Collimator Type"", ""required_selection_text"": ""Step 2: Must Choose the Collimator Type"", ""step_id"": ""Step 2""}",,must_select,hard_block,,,
dt_review:0058,decision_tree:0058,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618936,Step 2,Step 2: Must Choose the Collimator Type,,info,0.45,8618936 | Standard Collimator DRX-Revolution Plus Model | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B10,"{""message"": ""8618936 | Standard Collimator DRX-Revolution Plus Model | 0 | 0""}",,note,info,,,
dt_review:0059,decision_tree:0059,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618944,Step 2,Step 2: Must Choose the Collimator Type,,info,0.45,8618944 | Collimator with Filter Wheel DRX-Revolution Plus Model | 1500 | 1100,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B11,"{""message"": ""8618944 | Collimator with Filter Wheel DRX-Revolution Plus Model | 1500 | 1100""}",,note,info,,,
dt_review:0060,decision_tree:0060,must_select,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,hard_block,0.75,Step 3: Must Choose Power Cord- Cord Reel,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,A13,"{""option_group"": ""Step 3: Must Choose Power Cord- Cord Reel"", ""required_selection_text"": ""Step 3: Must Choose Power Cord- Cord Reel"", ""step_id"": ""Step 3""}",,must_select,hard_block,,,
dt_review:0061,decision_tree:0061,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618951,Step 3,Step 3: Must Choose Power Cord- Cord Reel,us,info,0.45,8618951 | Cord Reel for DRX-Revolution Plus model (US&C) | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B14,"{""message"": ""8618951 | Cord Reel for DRX-Revolution Plus model (US&C) | 0 | 0""}",,note,info,,,
dt_review:0062,decision_tree:0062,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618977,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,info,0.45,8618977 | Cord Reel for DRX-Revolution Plus model (UK) | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B15,"{""message"": ""8618977 | Cord Reel for DRX-Revolution Plus model (UK) | 0 | 0""}",,note,info,,,
dt_review:0063,decision_tree:0063,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8618993,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,info,0.45,8618993 | Cord Reel for DRX-Revolution Plus model (EUR) | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B16,"{""message"": ""8618993 | Cord Reel for DRX-Revolution Plus model (EUR) | 0 | 0""}",,note,info,,,
dt_review:0064,decision_tree:0064,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8619009,Step 3,Step 3: Must Choose Power Cord- Cord Reel,china,info,0.45,8619009 | Cord Reel for DRX-Revolution Plus model (CHINA) | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B17,"{""message"": ""8619009 | Cord Reel for DRX-Revolution Plus model (CHINA) | 0 | 0""}",,note,info,,,
dt_review:0065,decision_tree:0065,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8619017,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,info,0.45,8619017 | Cord Reel for DRX-Revolution Plus model (AUS) | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B18,"{""message"": ""8619017 | Cord Reel for DRX-Revolution Plus model (AUS) | 0 | 0""}",,note,info,,,
dt_review:0066,decision_tree:0066,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8619025,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,info,0.45,8619025 | 125VAC No Plug Cord Reel for DRX-Revolution Plus Model | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B19,"{""message"": ""8619025 | 125VAC No Plug Cord Reel for DRX-Revolution Plus Model | 0 | 0""}",,note,info,,,
dt_review:0067,decision_tree:0067,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8619033,Step 3,Step 3: Must Choose Power Cord- Cord Reel,,info,0.45,8619033 | 250VAC No Plug Cord Reel for DRX-Revolution Plus Model | 0 | 0,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B20,"{""message"": ""8619033 | 250VAC No Plug Cord Reel for DRX-Revolution Plus Model | 0 | 0""}",,note,info,,,
dt_review:0068,decision_tree:0068,must_select,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,,Step 4,Step 4: Must Choose the Proper WAP for your Country,,hard_block,0.75,Step 4: Must Choose the Proper WAP for your Country,August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,A22,"{""option_group"": ""Step 4: Must Choose the Proper WAP for your Country"", ""required_selection_text"": ""Step 4: Must Choose the Proper WAP for your Country"", ""step_id"": ""Step 4""}",,must_select,hard_block,,,
dt_review:0069,decision_tree:0069,note,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8625899,Step 4,Step 4: Must Choose the Proper WAP for your Country,us,info,0.45,"8625899 | ACCESS POINT, ARUBA AP-505(US) | 0 | 0",August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B23,"{""message"": ""8625899 | ACCESS POINT, ARUBA AP-505(US) | 0 | 0""}",,note,info,,,
dt_review:0070,decision_tree:0070,region_allow,normalized_candidate,not_implemented,decision_tree_normalized_candidate,DRX-Revolution Plus,8625873,Step 4,Step 4: Must Choose the Proper WAP for your Country,us,hard_block,0.9,"8625873 | ACCESS POINT, ARUBA AP-505(US), FIPS US ONLY | 0 | 0",August 2025_Decision Tree DRX-Revolution Plus.xlsx,Revolution,B27,"{""allowed_regions"": [""us""], ""source_text"": ""8625873 | ACCESS POINT, ARUBA AP-505(US), FIPS US ONLY | 0 | 0""}",,region_allow,hard_block,,,
